period,ID,mean_depth_descend,sd_depth_descend,min_depth_descend,max_depth_descend,mean_depth_ascend,sd_depth_ascend,min_depth_ascend,max_depth_ascend,mean_temp_descend,sd_temp_descend,min_temp_descend,max_temp_descend,mean_temp_ascend,sd_temp_ascend,min_temp_ascend,max_temp_ascend,mean_do_descend,sd_do_descend,min_do_descend,max_do_descend,mean_do_ascend,sd_do_ascend,min_do_ascend,max_do_ascend,mean_tbf_descend,sd_tbf_descend,min_tbf_descend,max_tbf_descend,mean_tbf_ascend,sd_tbf_ascend,min_tbf_ascend,max_tbf_ascend,mean_p_descend,sd_p_descend,min_p_descend,max_p_descend,mean_p_ascend,sd_p_ascend,min_p_ascend,max_p_ascend,mean_r_descend,sd_r_descend,min_r_descend,max_r_descend,mean_r_ascend,sd_r_ascend,min_r_ascend,max_r_ascend,mean_odba_descend,sd_odba_descend,min_odba_descend,max_odba_descend,mean_odba_ascend,sd_odba_ascend,min_odba_ascend,max_odba_ascend,sum_glides_descend,sum_glides_ascend,descend_time,ascend_time,burst_descent,burst_ascent
recovery,blue2,65.9883105802048,37.8951766707324,22.9,131.4,63.8170049916805,31.6112835764253,22.6,130.8,18.2691126279863,1.28094551607145,16,20.8,18.1073544093178,1.21213728051005,16,19.5,240.352369453925,7.87592743257359,223.716,248.894,242.372905490849,7.13994879342209,224.078,250.398,0.378536994394619,0.092537090883358,0.208956,0.822446,0.422419407770516,0.138685860155449,0.349301,0.822446,-9.18311442803754,12.0200210337101,-67.6808,5.67289,3.96681492069884,2.59681079514974,-5.1646,13.2825,4.3465557803157,3.57045721022785,-8.49741,16.737,2.59663508598436,1.9522554432118,-4.89397,9.34298,0.0249126717755973,0.0140534030779915,0.000881481,0.0974806,0.0276448643094842,0.0133507675515662,0.00193961,0.108694,317,4,1778,3611,10,33
recovery,blue5,132.755521680217,106.038269136329,0.6,348.1,93.9455089820359,57.5132198829892,0.6,232,16.7494724302246,2.06411645575034,13.5,22.2,17.2007911392405,1.50480036043036,14.5,21.9,242.310577603812,11.0587561720623,218.755,255.73,243.893299525316,11.6014644154931,220.397,257.108,0.340614994167679,0.14026916276759,0.208956,2.72759,0.400336739964533,0.0807135178142539,0.294319,1.37484,-9.04599444639788,9.54141078242437,-82.611,8.87094,5.00955045098927,3.7697683732036,-13.8668,24.9686,0.672238779125255,7.78803587061073,-18.013,45.0162,-0.404077265552532,4.64458276466217,-21.6769,13.2917,0.0278994207011573,0.0184648270585031,0.0016097,0.238696,0.0419790020268987,0.0224227816851908,0.00138238,0.237658,1809,127,6819,7261,106,742
normal,blue2,29.0671259509721,20.2521491816918,0,78,29.0600859641322,19.7169559493452,0.4,77.4,19.5970392491468,1.36285137704862,17.3,21.4,19.3906680569003,1.26995206376739,17.1,21.4,241.836160409556,5.06692314662179,233.583,249.152,243.27023951739,4.81796514400354,234.384,251.58,0.317022300618836,0.0594590908071283,0.176065,0.976089,0.391560995785037,0.0550479255174832,0.176065,1.93649,-8.35929735858034,5.55319482577778,-73.86,49.5618,6.15388800755418,5.70242944394894,-55.1741,68.736,0.310877166792662,5.15415999893898,-39.1971,42.7978,-1.74519340768251,3.5425865703601,-36.5278,72.287,0.0267473750286689,0.0175692880955325,0.000866196,0.365943,0.033023070369107,0.0241749478066273,0.000655096,0.605297,1725,53,14222,15886,74,733
normal,blue5,138.409285606175,123.211708110734,0.2,403.9,154.319060650417,123.664050456629,0.2,402.8,16.9976068897188,2.74976779585536,12.9,22,16.4719005623722,2.68869057109734,12.9,22,237.82969087722,11.1416123293387,216.571,257.936,237.423331799591,10.981851008105,217.022,263.688,0.281509130790735,0.13400007944093,0.176065,2.72759,0.344309615964438,0.041631575807196,0.208956,1.63168,-8.5852069104369,5.98398708835167,-81.0394,20.7023,8.00158332795182,5.38192359026977,-17.0319,32.2716,1.82969070377977,4.25268098737331,-19.5796,37.5617,-0.413076880894939,2.4526984930782,-42.4885,22.3766,0.0182593357712065,0.0115900207205449,0.000424495,0.248134,0.0343633632211784,0.0188300202480544,0.000814295,0.411123,3862,102,14541,17040,27,549
