ID,mean_depth_descend,sd_depth_descend,min_depth_descend,max_depth_descend,mean_depth_ascend,sd_depth_ascend,min_depth_ascend,max_depth_ascend,mean_temp_descend,sd_temp_descend,min_temp_descend,max_temp_descend,mean_temp_ascend,sd_temp_ascend,min_temp_ascend,max_temp_ascend,mean_do_descend,sd_do_descend,min_do_descend,max_do_descend,mean_do_ascend,sd_do_ascend,min_do_ascend,max_do_ascend,mean_tbf_descend,sd_tbf_descend,min_tbf_descend,max_tbf_descend,median_tbf_descend,mean_tbf_ascend,sd_tbf_ascend,min_tbf_ascend,max_tbf_ascend,median_tbf_ascend,mean_p_descend,sd_p_descend,min_p_descend,max_p_descend,mean_p_ascend,sd_p_ascend,min_p_ascend,max_p_ascend,mean_r_descend,sd_r_descend,min_r_descend,max_r_descend,mean_r_ascend,sd_r_ascend,min_r_ascend,max_r_ascend,mean_odba_descend,sd_odba_descend,min_odba_descend,max_odba_descend,mean_odba_ascend,sd_odba_ascend,min_odba_ascend,max_odba_ascend,sum_glides_descend,sum_glides_ascend,descend_time,ascend_time,burst_descent,burst_ascent
blue2,32.3952007383479,24.7856677432134,0,131.4,35.3904418449603,26.0741278513783,0.4,130.8,19.4763186472231,1.40829518523507,16,21.4,19.1559822297955,1.35371986746512,16,21.4,241.701270322681,5.39965374487074,223.716,249.152,243.106139666504,5.32991971035476,224.078,251.58,0.321906679010148,0.0648883354926982,0.176065,0.976089,0.294319,0.396859254301746,0.0771151884711271,0.176065,1.93649,0.414554,-8.43427705924073,6.42081904827957,-73.86,49.5618,5.75392728299233,5.3402579615996,-55.1741,68.736,0.677757040749302,5.16277857572559,-39.1971,42.7978,-0.951182050363316,3.71061924464723,-36.5278,72.287,0.0265805838238442,0.0172868320599466,0.000866196,0.365943,0.032039531590555,0.0226815843670018,0.000655096,0.605297,2042,57,16000,19497,84,766
blue4,37.4822574880263,31.2976859003313,0,122.3,39.80793951794,30.527908432677,0.2,122.8,19.753602761398,1.91673311646274,15.9,21.8,19.4211350783244,1.91007371963378,15.9,21.7,246.084902847692,5.73461483787541,231.743,269.534,248.691981632551,7.58494435654639,231.959,271.922,0.344022457452295,0.0856222331443459,0.176065,2.72759,0.349301,0.394993754187648,0.0612095965636687,0.208956,1.63168,0.414554,-8.46982775682748,7.81891900551119,-71.2474,30.4266,5.80136111531435,4.68485947096315,-25.8572,42.1227,1.69283506726744,6.83661216182602,-39.3178,40.8414,-0.130991825496622,4.56210790060078,-24.0325,20.7651,0.021619820998346,0.0189712783427524,0.000784419,1.0759,0.0261579824002803,0.0159653891553335,0.00107256,0.2396,3507,179,16568,22618,170,1042
blue5,136.663296369913,118.200986572501,0.2,403.9,136.950614261753,112.212156005279,0.2,402.8,16.9208559246197,2.55991600975062,12.9,22.2,16.6815959577567,2.43094334728053,12.9,22,239.2156828973,11.3070695819262,216.571,257.936,239.28468449563,11.5412043328363,217.022,263.688,0.298720979053146,0.138479201712498,0.176065,2.72759,0.247991,0.360306681565017,0.0611438504611335,0.208956,1.63168,0.349301,-8.72719150621386,7.27102938240524,-82.611,20.7023,7.14080183749282,5.15308701975875,-17.0319,32.2716,1.47167693796043,5.61568142201312,-19.5796,45.0162,-0.410487770872906,3.23889069007181,-42.4885,22.3766,0.0212411296885824,0.0147675023906965,0.000424495,0.248134,0.0365543153903405,0.0202255684976086,0.000814295,0.411123,5671,229,21360,24301,133,1291
mean,68.8469181987625,58.0947800720151,0.0666666666666667,219.2,70.7163318748843,56.271397429778,0.266666666666667,218.8,18.7169257777469,1.96164810381615,14.9333333333333,21.8,18.4195710886256,1.89824564479314,14.9333333333333,21.7,242.333952022557,7.48044605489078,224.01,258.874,243.694268598228,8.15202279991249,224.353,262.396666666667,0.321550038505196,0.0963299234498473,0.176065,2.14375633333333,0.297203666666667,0.384053230018137,0.0664895451653097,0.197992333333333,1.73328333333333,0.392803,-8.54376544076069,7.17025581206533,-75.9061333333333,33.5635666666667,6.23203007859983,5.05940148410717,-32.6877333333333,47.7101,1.28075634865906,5.87169071985491,-32.6981666666667,42.8851333333333,-0.497553882244281,3.83720594510661,-34.3496,38.4762333333333,0.0231471781702576,0.0170085375977985,0.000691703333333333,0.563325666666667,0.0315839431270586,0.0196241806733146,0.000847317,0.418673333333333,3740,155,17976,22138.6666666667,129,1033
sd,58.7857584605575,52.1552359790359,0.115470053837925,160.019592550412,57.4030808746382,48.4972720147065,0.115470053837925,159.39887076137,1.56160872435376,0.57712273212133,1.76162803489651,0.4,1.51095819760495,0.538709136624054,1.76162803489651,0.300000000000001,3.47803971825152,3.31818255174462,7.59027160251858,10.2233245082018,4.73114484938141,3.14423243989164,7.47229623342116,10.2322967770356,0.0226528448682385,0.0379459467071782,0,1.0112295738359,0.050716565354264,0.020586256222203,0.00920213575124519,0.018989627703916,0.17598213555169,0.0376738371154307,0.159843060970595,0.704476654660787,5.95170962441325,14.6832593440058,0.78737670427393,0.337593735242345,19.9674483703685,18.8633877103239,0.533791957174681,0.865785937126224,11.3611722838505,2.08876975594088,0.416969281906616,0.67062962289919,9.4188322222025,29.2920670148649,0.00297943913574071,0.00211566039796504,0.000234993807331881,0.447793563502574,0.00521311860080959,0.00339824513781977,0.0002106819574311,0.182965378152079,1825.68535076557,88.4759854423787,2944.35867380318,2437.60627118764,43.139309220246,262.615688792578
