sharkID,mean_depth_50,sd_depth_50,min_depth_50,max_depth_50,mean_temp_50,sd_temp_50,min_temp_50,max_temp_50,rate_temp_50,mean_DO_50,sd_DO_50,min_DO_50,max_DO_50,rate_DO_50,mean_tbf_50,sd_tbf_50,min_tbf_50,max_tbf_50,mean_p_50,sd_p_50,min_p_50,max_p_50,mean_r_50,sd_r_50,min_r_50,max_r_50,mean_odba_50,sd_odba_50,min_odba_50,max_odba_50,sum_glides_50,time_50,burst_50,mean_depth_100,sd_depth_100,min_depth_100,max_depth_100,mean_temp_100,sd_temp_100,min_temp_100,max_temp_100,rate_temp_100,mean_DO_100,sd_DO_100,min_DO_100,max_DO_100,rate_DO_100,mean_tbf_100,sd_tbf_100,min_tbf_100,max_tbf_100,mean_p_100,sd_p_100,min_p_100,max_p_100,mean_r_100,sd_r_100,min_r_100,max_r_100,mean_odba_100,sd_odba_100,min_odba_100,max_odba_100,sum_glides_100,time_100,burst_100,type
blue2,26.2976614699332,21.4877012626255,0,84.9,19.6720892082148,1.32261893803028,17,21.8,0.0564705882352941,241.979550553398,5.17956211057307,231.923,251.58,0.231258823529412,0.365501508567557,0.0735764838908743,0.176065,1.93649,-0.0254069102229819,7.37080743134012,-73.86,68.736,-0.403283191324667,4.3134146914259,-39.1971,77.6027,0.0301506409291069,0.0197871637741107,0.000655096,0.605297,2036,49390,1163,114.224074074074,15.2736027528623,85.1,131.9,16.3665242165242,0.346848799815504,16,17.5,-0.0319829424307036,229.945176638177,5.67883764710998,223.716,244.177,-0.436268656716418,0.419607207171315,0.104021567859157,0.208956,0.822446,-0.0638664077849002,9.44786105511084,-24.3561,10.7908,4.22963028288462,2.38913667357841,-4.65428,14.2223,0.0316251303917379,0.0161483574090384,0.00154185,0.0906328,159,1404,45,overall
blue4,28.5562695579356,23.4414448819121,0,84.9,20.0858922291549,1.67262545236252,16.6,22.8,0.0729411764705882,248.267645581395,6.01846029438765,236.831,271.922,0.412835294117647,0.377180364319572,0.0766787875977207,0.176065,2.72759,-0.106984185628179,8.15879787854476,-71.2474,42.1227,-0.252094593334816,6.04138965136871,-39.3178,40.8414,0.0246228529743619,0.0169354336629315,0.000548152,1.0759,4219,45378,1545,101.137417943107,9.95371972420215,85.1,123.2,16.4376964392282,0.372125279162295,15.9,17.4,-0.0392670157068062,237.68510423712,4.53490268144302,231.743,267.566,-0.937774869109947,0.366354727718724,0.0685671368266836,0.247991,1.15843,0.952126841472847,7.18637723942799,-60.2371,17.6682,2.28660418367953,4.25555256572666,-31.2246,28.7659,0.0240019545434653,0.0126167950819355,0.00107256,0.152651,65,5027,68,overall
blue5,42.3436329528473,27.9328695680413,0,84.9,18.8690744601901,1.82539889037839,16.1,22.2,0.0717647058823529,248.456617980705,7.44253076416315,233.197,263.688,0.358717647058823,0.358198743897982,0.0962536800345432,0.176065,2.72759,0.404311654252256,8.2741378253026,-82.611,32.2716,-1.32390239466169,4.63331250919927,-65.1929,71.5185,0.0312982190840725,0.0217760644657977,0.000424495,0.892998,4396,31451,1102,225.976222484277,106.666099458696,85.1,403.9,14.8290566037736,1.29275151082813,12.9,17.9,-0.0156788962057071,229.958718671384,6.34487082435908,216.571,258.002,-0.12991846973973,0.315592463328904,0.0942793342252923,0.176065,2.72759,-0.479892552464284,9.60000983334887,-70.7737,27.4447,1.54998863850181,3.87892978462831,-18.9622,42.2323,0.0270109908454009,0.0165133938870413,0.000763466,0.238696,2363,25440,455,overall
mean,32.399187993572,24.2873385708597,0,84.9,19.5423519658533,1.60688109359039,16.5666666666667,22.2666666666667,0.0670588235294118,246.234604705166,6.21351772304129,233.983666666667,262.396666666667,0.334270588235294,0.366960205595037,0.0821696505077128,0.176065,2.46389,0.0906401861336983,7.93458104506249,-75.9061333333333,47.7101,-0.659760059773723,4.99603895066462,-47.9026,63.3208666666667,0.0286905709958471,0.0194995539676133,0.000542581,0.858065,3550.33333333333,42073,1270,147.112571500486,43.9644739785869,85.1,219.666666666667,15.8777590865087,0.670575196601975,14.9333333333333,17.6,-0.0289762847810723,232.52966651556,5.51953705097069,224.01,256.581666666667,-0.501320665188698,0.367184799406314,0.0889560129703778,0.211004,1.56948866666667,0.136122627074554,8.74474937596257,-51.7889666666667,18.6345666666667,2.68874103502198,3.50787300797779,-18.28036,28.4068333333333,0.0275460252602014,0.0150928487926718,0.00112595866666667,0.160659933333333,862.333333333333,10623.6666666667,189.333333333333,overall
sd,8.68586879850479,3.30479964915197,0,0,0.618696359096087,0.257756979834803,0.450924975282289,0.503322295684717,0.0091885290304784,3.68619614477888,1.14402462042456,2.5468116014604,10.2322967770356,0.0932241797049506,0.00957451441175035,0.0122953644865393,0,0.456741797955913,0.274692656253079,0.491636391530072,5.95170962441325,18.8633877103239,0.580110574617771,0.919321608062666,14.97396065475,19.7040399061546,0.00356917095866466,0.00243309806481559,0.000115401396573005,0.23723834380007,1314.43384517188,9415.10483213012,240.102061632132,68.6106531600043,54.366310038898,0,159.610035189938,0.908899908841552,0.538968690732654,1.76162803489651,0.264575131106459,0.0120780726138775,4.46474516880031,0.915439063805175,7.59027160251858,11.7590110270096,0.407837974391254,0.0520123398666652,0.0183168633189851,0.0360067090553969,1.01691707418321,0.736659077661457,1.35173225885356,24.3346792675255,8.36890044768925,1.38434293835862,0.986985014698599,13.2982764133101,14.0084517935899,0.00383964827454121,0.00215207908576945,0.000391929810125912,0.0743558004355634,1300.46504502556,12958.562124454,230.36131040896,overall
