period,sharkID,mean_depth,sd_depth,min_depth,max_depth,mean_temp,sd_temp,min_temp,max_temp,mean_DO,sd_DO,min_DO,max_DO,mean_tbf,sd_tbf,min_tbf,max_tbf,mean_p,sd_p,min_p,max_p,mean_r,sd_r,min_r,max_r,mean_odba,sd_odba,min_odba,max_odba,sum_glides,time,burst
recovery,blue2,55.8633230452675,32.2416699473606,0.2,131.9,18.4803164801235,1.14551691801201,16,21.8,242.949155795703,6.7318800033197,223.716,250.398,0.407897894639556,0.128489275107646,0.208956,0.976089,0.583415309926374,7.67345830802905,-71.2715,13.2825,3.28233138808337,2.88596005576265,-8.49741,77.6027,0.0259871378285089,0.0139019737329486,0.000881481,0.403296,342,7776,61
recovery,blue5,95.8299923447069,80.2019399027929,0.2,348.1,17.1961569255404,1.70921440523571,13.5,22.2,245.133741850623,10.8014769544028,218.755,257.108,0.375303171230617,0.109078390842534,0.208956,2.72759,-1.02280153236393,8.58086111880589,-82.611,24.9686,-0.770339398878188,6.21493378052885,-65.1929,71.5185,0.0351782865029166,0.0231375687258711,0.00138238,0.892998,2525,18288,962
normal,blue2,23.8230252452462,20.9291368917176,0,78,19.7827103474682,1.36624116959531,17.1,21.4,241.394861108452,5.28394836417904,233.583,251.58,0.359741274139484,0.0580836261624275,0.176065,1.93649,-0.139929136611254,7.38738050976827,-73.86,68.736,-0.933188226453144,4.24234324563362,-39.1971,72.287,0.030974635683737,0.020498460582799,0.000655096,0.605297,1853,43018,1147
normal,blue5,138.021547548118,129.614130057861,0,403.9,16.8408430112273,2.8905497763077,12.9,22,237.078097486966,10.9793514289292,216.571,263.688,0.319988556514315,0.0864664534754144,0.176065,2.72759,0.469903376799503,9.06492484338221,-81.0394,32.2716,0.425902723525649,3.35734850205116,-42.4885,37.5617,0.0264179690143444,0.0168852607917778,0.000424495,0.411123,4234,38603,595
