sharkID,mean_depth_50,sd_depth_50,min_depth_50,max_depth_50,mean_temp_50,sd_temp_50,min_temp_50,max_temp_50,mean_DO_50,sd_DO_50,min_DO_50,max_DO_50,mean_tbf_50,sd_tbf_50,min_tbf_50,max_tbf_50,mean_p_50,sd_p_50,min_p_50,max_p_50,mean_r_50,sd_r_50,min_r_50,max_r_50,mean_odba_50,sd_odba_50,min_odba_50,max_odba_50,sum_glides_50,time_50,burst_50,mean_depth_100,sd_depth_100,min_depth_100,max_depth_100,mean_temp_100,sd_temp_100,min_temp_100,max_temp_100,mean_DO_100,sd_DO_100,min_DO_100,max_DO_100,mean_tbf_100,sd_tbf_100,min_tbf_100,max_tbf_100,mean_p_100,sd_p_100,min_p_100,max_p_100,mean_r_100,sd_r_100,min_r_100,max_r_100,mean_odba_100,sd_odba_100,min_odba_100,max_odba_100,sum_glides_100,time_100,burst_100,type
blue2,29.8964178158187,20.3855978648638,0,84.9,19.5649744163735,1.33230867195351,17.3,21.4,242.045923808762,4.98527309396498,233.583,249.152,0.320634730141359,0.0647531648078886,0.176065,0.976089,-8.27509444263531,6.34520579739186,-73.86,49.5618,0.508341436947554,5.12216818400287,-39.1971,42.7978,0.0265705201164855,0.0172940948456826,0.000866196,0.365943,1883,15616,76,114.503645833333,14.0848209035359,85.1,131.4,16.5885416666667,0.413763164725787,16,17.5,230.474901041667,6.28640123573966,223.716,244.177,0.373753962825279,0.0466770410895893,0.208956,0.583908,-13.61310109375,6.71576934437192,-24.3561,-1.85086,6.19611738541667,2.98229368984072,-1.8347,14.2223,0.026908388125,0.0170675788527147,0.00154185,0.0906328,159,3382,8,descent
blue4,29.2527227121935,22.6947289179035,0,84.9,20.1797816878462,1.61064235114229,16.8,21.8,247.141055718475,5.0849725617308,236.831,269.534,0.344047815090224,0.0904844532377506,0.176065,2.72759,-8.79094050391357,7.9011076936229,-71.2474,30.4266,1.3960071376182,6.89886510810956,-39.3178,40.8414,0.0213373160836592,0.019614293854734,0.000784419,1.0759,3451,14938,153,99.8803067484663,9.70505484432647,85.1,122.3,16.5439263803681,0.36725624052368,15.9,17.4,238.130711042945,3.76251939506237,231.743,254.175,0.343857239664083,0.041878328107301,0.247991,0.692988,-6.05143506773006,6.69388446095691,-60.2371,11.7033,3.9283317938773,5.8872950153159,-31.2246,28.7659,0.0237474469693252,0.0129630300740284,0.0014359,0.152651,56,4209,17,descent
blue5,46.6257818297466,24.1185858675707,0.2,84.9,19.0215635738832,1.71918080720877,16.5,22.2,248.551937177835,7.01046155822834,233.197,257.936,0.332060491250197,0.165098695331336,0.176065,2.72759,-7.59902247770218,6.90300813092488,-82.611,12.1746,-0.0583723671518148,5.9043958919283,-19.5796,45.0162,0.0224777296941581,0.0156492907131639,0.000424495,0.248134,3428,11675,67,224.358069179143,106.894566600171,85.1,403.9,14.9010531750129,1.29976442983739,12.9,17.9,230.238997315436,6.25526762788296,216.571,251.362,0.271567341936312,0.104664297008575,0.176065,2.72759,-9.80781943127247,7.44867117169446,-70.7737,20.7023,2.94279920220465,4.89138871850066,-18.9622,42.2323,0.0200521550626742,0.0137633318584868,0.000763466,0.238696,2243,11927,66,descent
mean,35.2583074525863,22.3996375501126,0.0666666666666667,84.9,19.5887732260343,1.55404394343486,16.8666666666667,21.8,245.912972235024,5.69356907130804,234.537,258.874,0.33224767882726,0.106778771125658,0.176065,2.14375633333333,-8.22168580808369,7.04977387397988,-75.9061333333333,30.721,0.615325402471312,5.97514306134691,-32.6981666666667,42.8851333333333,0.0234618552981009,0.0175192264711935,0.000691703333333333,0.563325666666667,2920.66666666667,14076.3333333333,98.6666666666667,146.247340586981,43.5614807826777,85.1,219.2,16.0111737406826,0.693594611695619,14.9333333333333,17.6,232.948203133349,5.43472941956166,224.01,249.904666666667,0.329726181475225,0.0644065554018219,0.211004,1.33482866666667,-9.82411853091751,6.9527749923411,-51.7889666666667,10.1849133333333,4.35574946049954,4.58699247455243,-17.3405,28.4068333333333,0.0235693300523331,0.0145979802617433,0.001247072,0.160659933333333,819.333333333333,6506,30.3333333333333,descent
sd,9.84978127336621,1.88390791802487,0.115470053837925,0,0.579475700425808,0.199549610562144,0.404145188432738,0.4,3.42245442210437,1.14155129650338,1.99601503000352,10.2233245082018,0.0117076648439153,0.0521194298758359,0,1.0112295738359,0.597751208267635,0.788265700874207,5.95170962441325,18.6953385762334,0.733068286473476,0.890458792711996,11.3611722838505,2.08876975594088,0.00275190543361308,0.0019920656778252,0.000234993807331881,0.447793563502574,898.719273930037,2107.0648621562,47.2687352626801,68.0398776630041,54.8917608303633,0,160.019592550412,0.961651383654651,0.525473224645372,1.76162803489651,0.264575131106459,4.48973315652253,1.44826002496495,7.59027160251858,5.15585747798884,0.0525384761515693,0.0349466912744067,0.0360067090553969,1.20739915120118,3.78085936233457,0.429598070937793,24.3346792675255,11.352989916693,1.66824284701301,1.47622863413853,14.7619100617095,14.0084517935899,0.00343158522818847,0.00217584664830673,0.000422152132592031,0.0743558004355634,1234.00661802655,4712.89857730887,31.2143129562919,descent
